index,frame,x,y,z,qx,qy,qz,qw
72,map,-0.3096838766289338,-1.2594320060228115,0.0,0.0,0.0,0.0,1.0
71,map,-0.32749975290149114,-1.2418935536130307,0.0,0.0,0.0,0.0,1.0
70,map,-0.34533975713461307,-1.2243797060009798,0.0,0.0,0.0,0.0,1.0
69,map,-0.36321075578348005,-1.2068975203767054,0.0,0.0,0.0,0.0,1.0
68,map,-0.37643335501005315,-1.1856805553388683,0.0,0.0,0.0,0.0,1.0
67,map,-0.3886994188830173,-1.1638965355440463,0.0,0.0,0.0,0.0,1.0
66,map,-0.3995764560934376,-1.1413867695836246,0.0,0.0,0.0,0.0,1.0
65,map,-0.4098683187345913,-1.118603489825182,0.0,0.0,0.0,0.0,1.0
64,map,-0.4170949767097085,-1.0946706510286135,0.0,0.0,0.0,0.0,1.0
63,map,-0.4237227272051982,-1.0705651971782033,0.0,0.0,0.0,0.0,1.0
62,map,-0.43049104929702087,-1.0464988439753484,0.0,0.0,0.0,0.0,1.0
61,map,-0.43752659093628243,-1.0225093569235413,0.0,0.0,0.0,0.0,1.0
60,map,-0.4441225840765626,-0.9983951292692894,0.0,0.0,0.0,0.0,1.0
59,map,-0.4502560451664934,-0.9741592127704508,0.0,0.0,0.0,0.0,1.0
58,map,-0.4533246830601201,-0.9493482306502501,0.0,0.0,0.0,0.0,1.0
57,map,-0.4561013058737118,-0.9245029162541472,0.0,0.0,0.0,0.0,1.0
56,map,-0.45869148535566784,-0.8996373839622351,0.0,0.0,0.0,0.0,1.0
55,map,-0.4610430555201035,-0.8747483912817899,0.0,0.0,0.0,0.0,1.0
54,map,-0.46367681791896875,-0.8498874366266649,0.0,0.0,0.0,0.0,1.0
53,map,-0.4665471869192601,-0.8250528033830649,0.0,0.0,0.0,0.0,1.0
52,map,-0.470501692898597,-0.8003675155396395,0.0,0.0,0.0,0.0,1.0
51,map,-0.47540968247368487,-0.7758540798105913,0.0,0.0,0.0,0.0,1.0
50,map,-0.47845581365310896,-0.7510402366673987,0.0,0.0,0.0,0.0,1.0
49,map,-0.47992456748969237,-0.7260835331094797,0.0,0.0,0.0,0.0,1.0
48,map,-0.48396356901472193,-0.7014119781764152,0.0,0.0,0.0,0.0,1.0
47,map,-0.4903228601861429,-0.6772342358117442,0.0,0.0,0.0,0.0,1.0
