i,x,y,yaw
148,-1.5713506575130025,1.2111013567611768,0.0
149,-1.5770689841668157,1.235438744208793,0.0
150,-1.578382861292107,1.2604040308356876,0.0
151,-1.5816012260556405,1.2851961302041421,0.0
152,-1.588021552384221,1.3093576601051926,0.0
153,-1.6041423202178229,1.3284658604631692,0.0
154,-1.6168797376286945,1.349977701604033,0.0
155,-1.6236241224948187,1.3740507305272023,0.0
156,-1.6302685146073777,1.3981516067408255,0.0
157,-1.636170089783819,1.4224451251692334,0.0
158,-1.6446451551414305,1.4459646415109124,0.0
159,-1.6545757182624299,1.4689077570871665,0.0
160,-1.6646250615213076,1.491798992779835,0.0
161,-1.6746453177131015,1.5147028169736676,0.0
162,-1.6848323238616039,1.5375333989789088,0.0
163,-1.695059384331992,1.5603456704370022,0.0
164,-1.7066413776076046,1.5825010510161666,0.0
165,-1.7210298913870736,1.6029455398462038,0.0
166,-1.7419525048427658,1.6166292406116303,0.0
167,-1.764007988035798,1.6283998706698388,0.0
168,-1.7866454033053727,1.6390089253933557,0.0
169,-1.8097474010251076,1.6485639792466746,0.0
170,-1.8329825316813966,1.6577902061907968,0.0
171,-1.856784049522639,1.6654382928526137,0.0
172,-1.8805546683155696,1.67318136547776,0.0
173,-1.9043381617119635,1.6808847652507528,0.0
174,-1.928155129077362,1.6884844052565744,0.0
175,-1.9520335130696522,1.6958887327594856,0.0
176,-1.9759755071397946,1.7030843963188578,0.0
177,-1.9999999940395354,1.7100000610947608,0.0
178,-2.0499999947845935,1.7600000618398188,0.0
179,-2.069352865219116,1.7654324769973755,0.0
