episode,status,reason,steps,goal_dist,cross_track_error,min_clearance,min_dynamic_distance,nearest_path_index,progress_ratio
141,collision,dynamic_dist_0.36,65,3.324491430498745,0.15024755388232514,0.13862210512161255,0.35776010172417433,36,0.19968318341382718
142,off_path,cte_1.26,208,3.3847082092393888,1.2558035459606285,0.12294325232505798,0.5428324113794974,53,0.29375186208607906
143,collision,dynamic_dist_0.36,69,3.0497283777443323,0.5124345333689151,0.1267557591199875,0.35989736158661895,34,0.18861627910193005
144,off_path,cte_1.26,254,2.3887429885011793,1.2613028417196754,0.11999999731779099,0.4165911326628622,105,0.5814913765482868
145,collision,stuck_blocked,284,1.5065963396806812,0.6109209764301107,0.11999999731779099,1.0469381519055307,120,0.6644931779033151
146,off_path,cte_1.27,311,3.186771957597162,1.2674749173841795,0.13863790035247803,2.5782354823682354,81,0.44868852785522495
147,collision,stuck_blocked,286,1.8900871309131342,0.40031080196677443,0.11999999731779099,1.250783701912373,94,0.5206234149066559
148,collision,dynamic_dist_0.35,63,3.394378113597067,0.271071143344748,0.1412419229745865,0.3542080737166713,36,0.19968318341382718
149,off_path,cte_1.25,172,4.107883120023311,1.2534840708176216,0.13529843091964722,0.5519451062463172,0,0.0
150,off_path,cte_1.27,157,3.6663326228558204,1.2726905616692405,0.12432099133729935,0.6138243346366473,3,0.017079277544075278
151,off_path,cte_1.26,551,2.4959261620417936,1.2570666569937725,0.11999999731779099,0.6445394025367475,115,0.6368259169221935
152,collision,stuck_blocked,228,1.7862577770134724,0.4549168469802444,0.11999999731779099,3.0172565142923995,91,0.5040230760871632
153,collision,stuck_blocked,196,2.0230227184859304,0.5641723125229222,0.11999999731779099,2.4950293834717887,103,0.5704244897781042
154,collision,stuck_blocked,256,1.9719417288859453,0.4143454257666229,0.11999999731779099,0.8503674940186478,83,0.45975545388696837
155,collision,dynamic_dist_0.35,66,3.2412327105110084,0.640941371189643,0.13343873620033264,0.3537971830715625,25,0.13881520724591048
156,off_path,cte_1.25,192,4.554975232306404,1.2539335714399773,0.13713598251342773,0.6797720830742879,3,0.017079277544075278
157,off_path,cte_1.25,534,3.4099094770110363,1.2518579630819786,0.12789680063724518,0.6172534019751681,84,0.46528889096394155
158,off_path,cte_1.25,307,3.0916869002805187,1.2508072356704498,0.14033062756061554,2.310681595478531,80,0.4431550749069581
159,off_path,cte_1.25,407,3.9036894583415527,1.253878658026936,0.11999999731779099,0.7857936175133762,2,0.01154581191528916
160,off_path,cte_1.25,223,2.5851747776318783,1.253264971632484,0.13025140762329102,0.927966986249756,57,0.3158856857200895
161,collision,stuck_blocked,329,1.6928484060108167,0.6332927573321072,0.11999999731779099,0.41596924274247815,116,0.6423593982276102
162,off_path,cte_1.25,350,3.3995253204974034,1.2524398895263191,0.1384943425655365,1.8541023859735524,86,0.4763558255205024
163,collision,stuck_blocked,197,2.317903483724751,0.49005079352939623,0.11999999731779099,0.954497301490863,69,0.3822871116545959
164,collision,stuck_blocked,363,1.6890678173764877,0.7311819530673598,0.11999999731779099,0.9308137128583369,117,0.6478928128250578
165,off_path,cte_1.25,154,3.5089576634374535,1.2549778671372551,0.13538964092731476,0.6255646049825131,5,0.02814618801136692
166,off_path,cte_1.25,450,2.8266308952849686,1.250824030688279,0.11999999731779099,0.8733625535102532,106,0.5870248470104521
167,off_path,cte_1.25,431,3.3962754593798086,1.2527277425735024,0.13554500043392181,0.624429264528795,79,0.4376216201846238
168,off_path,cte_1.27,380,3.5845540917578345,1.2714032949224174,0.11999999731779099,0.535874558007048,64,0.35461985897678766
169,collision,stuck_blocked,335,4.553161276511205,0.8645587898762419,0.11999999731779099,0.9939470218559312,14,0.07794724304045882
170,collision,stuck_blocked,125,3.6118024185175193,0.6708988201251826,0.11999999731779099,0.4394208807604854,42,0.23288391895726931
171,collision,stuck_blocked,349,1.3853282533000109,0.3116834718239571,0.11999999731779099,1.3455907737936799,125,0.6921604442544299
172,collision,dynamic_dist_0.34,91,2.943068053593157,0.4564357740267312,0.1451990008354187,0.34418680250281386,38,0.21075008395142072
173,collision,stuck_blocked,149,3.492434071180634,0.9454437000498758,0.11999999731779099,0.9376475476474356,49,0.2716180883443705
174,collision,stuck_blocked,613,0.613440739811577,0.5909932651534576,0.11999999731779099,1.2526984008405337,177,0.9798999468216139
175,collision,stuck_blocked,184,2.26693463728988,0.49192696316788437,0.11999999731779099,0.9096952897169815,71,0.393354023535685
